,positive_arm,neutral_arm,correctAns
0,5.644,6.223,['right']
1,7.559,6.259,['right']
2,7.464,6.13,['right']
3,6.645,4.864,['right']
4,6.887,5.916,['right']
5,4.646,6.584,['right']
6,5.217,5.461,['right']
7,7.235,6.647,['right']
8,7.153,5.116,['right']
9,5.644,7.039,['right']
10,6.645,4.646,['right']
11,6.914,4.646,['right']
12,7.039,6.434,['right']
13,6.423,6.259,['right']
14,7.367,7.669,['right']
15,6.914,4.272,['right']
16,7.669,7.104,['right']
17,7.039,7.01,['right']
18,6.647,6.648,['right']
19,7.503,6.259,['right']
20,4.556,4.26,['right']
21,6.191,5.128,['right']
22,4.243,4.438,['right']
23,5.466,3.36,['right']
24,4.256,3.81,['right']
25,4.532,4.63,['right']
26,5.328,4.745,['right']
27,4.387,5.245,['right']
28,4.26,4.63,['right']
29,6.69,4.849,['right']
30,6.919,4.821,['right']
31,6.28,5.584,['right']
32,6.191,4.745,['right']
33,6.407,4.821,['right']
34,6.407,4.578,['right']
35,4.243,3.36,['right']
36,5.128,4.103,['right']
37,5.2,4.578,['right']
38,5.328,4.745,['right']
39,4.63,4.438,['right']
40,3.938,4.918,['right']
41,5.2,4.821,['right']
42,5.508,4.918,['right']
43,4.243,4.251,['right']
44,5.2,4.63,['right']
45,4.103,4.322,['right']
46,6.034,4.256,['right']
47,4.251,5.158,['right']
48,6.191,5.128,['right']
49,6.163,4.256,['right']
50,6.033,4.586,['right']
51,6.191,4.322,['right']
52,5.205,6.69,['right']
53,4.532,4.26,['right']
54,5.466,4.243,['right']
55,6.033,6.506,['right']
56,4.243,5.128,['right']
57,5.466,4.438,['right']
58,4.322,4.63,['right']
59,4.322,6.69,['right']
60,5.688,6.034,['right']
61,5.188,4.745,['right']
62,3.938,4.243,['right']
63,4.243,6.034,['right']
64,6.034,4.918,['right']
65,6.919,4.556,['right']
66,6.407,6.033,['right']
67,4.387,4.849,['right']
68,4.63,4.849,['right']
69,6.506,5.328,['right']
70,6.092,4.586,['right']
71,6.477,3.36,['right']
72,6.092,5.432,['right']
73,4.532,5.2,['right']
74,4.26,4.849,['right']
75,5.205,5.432,['right']
76,5.466,4.745,['right']
77,5.508,6.477,['right']
78,5.4,3.81,['right']
79,5.245,4.745,['right']
80,7.51,3.263,['right']
81,6.584,5.943,['right']
82,6.847,4.772,['right']
83,7.385,3.003,['right']
84,7.516,4.43,['right']
85,5.293,3.011,['right']
86,5.973,5.293,['right']
87,3.263,2.839,['right']
88,7.298,5.234,['right']
89,7.587,3.483,['right']
90,6.147,7.094,['right']
91,6.271,2.839,['right']
92,7.516,5.283,['right']
93,3.519,6.847,['right']
94,7.516,7.915,['right']
95,7.424,3.369,['right']
96,6.368,2.627,['right']
97,6.537,3.483,['right']
98,6.147,4.772,['right']
99,3.229,5.283,['right']
100,6.663,4.428,['left']
101,7.098,4.428,['left']
102,7.087,5.969,['left']
103,4.878,4.192,['left']
104,6.259,4.272,['left']
105,4.864,7.045,['left']
106,7.373,6.648,['left']
107,7.582,6.434,['left']
108,6.252,6.493,['left']
109,7.375,6.223,['left']
110,6.259,6.584,['left']
111,7.318,4.864,['left']
112,5.111,4.878,['left']
113,7.052,4.646,['left']
114,7.375,7.01,['left']
115,7.559,5.116,['left']
116,7.01,5.217,['left']
117,7.669,4.192,['left']
118,7.559,7.559,['left']
119,6.13,3.609,['left']
120,6.223,7.193,['left']
121,4.864,6.434,['left']
122,5.461,6.259,['left']
123,7.039,6.584,['left']
124,7.235,4.192,['left']
125,4.864,6.259,['left']
126,7.104,3.609,['left']
127,7.367,4.878,['left']
128,7.193,7.375,['left']
129,6.645,5.217,['left']
130,5.686,3.609,['left']
131,7.193,7.559,['left']
132,7.01,5.217,['left']
133,7.669,7.045,['left']
134,6.887,5.916,['left']
135,7.153,6.13,['left']
136,7.503,7.464,['left']
137,5.116,6.576,['left']
138,5.111,4.428,['left']
139,7.039,5.916,['left']
140,3.702,2.627,['right']
141,7.918,3.306,['right']
142,7.915,4.772,['right']
143,7.385,7.516,['right']
144,5.973,4.747,['right']
145,6.368,5.293,['right']
146,7.51,3.519,['right']
147,6.584,6.537,['right']
148,7.094,4.998,['right']
149,6.147,7.424,['right']
150,6.368,3.306,['right']
151,7.918,4.089,['right']
152,7.918,4.021,['right']
153,7.51,6.147,['right']
154,7.915,2.627,['right']
155,5.973,4.021,['right']
156,6.271,3.483,['right']
157,6.147,6.363,['right']
158,4.747,5.293,['right']
159,7.329,3.003,['right']
160,6.584,7.385,['right']
161,6.777,4.747,['right']
162,3.483,6.777,['right']
163,6.499,6.363,['right']
164,3.702,4.772,['right']
165,4.089,7.918,['right']
166,6.777,4.43,['right']
167,7.587,3.483,['right']
168,6.368,2.839,['right']
169,7.329,3.229,['right']
170,5.293,6.537,['right']
171,6.147,5.283,['right']
172,6.271,6.363,['right']
173,6.537,6.777,['right']
174,5.943,4.772,['right']
175,6.847,6.584,['right']
176,6.147,4.747,['right']
177,7.094,5.293,['right']
178,7.329,5.293,['right']
179,5.943,4.43,['right']
180,5.172,4.243,['left']
181,4.586,6.034,['left']
182,5.584,5.861,['left']
183,5.158,4.387,['left']
184,4.63,5.432,['left']
185,6.305,3.81,['left']
186,6.191,4.256,['left']
187,6.305,4.243,['left']
188,4.251,5.128,['left']
189,6.392,4.63,['left']
190,4.387,5.114,['left']
191,5.158,4.849,['left']
192,4.849,5.067,['left']
193,5.688,4.586,['left']
194,5.688,4.63,['left']
195,3.81,4.438,['left']
196,4.556,4.745,['left']
197,6.205,5.128,['left']
198,5.861,4.821,['left']
199,6.034,4.387,['left']
200,4.849,5.114,['right']
201,4.532,4.63,['right']
202,6.163,4.821,['right']
203,6.407,4.556,['right']
204,5.158,5.861,['right']
205,4.556,6.092,['right']
206,5.328,4.849,['right']
207,5.688,4.26,['right']
208,5.172,4.26,['right']
209,5.888,4.322,['right']
210,5.205,3.36,['right']
211,6.477,4.745,['right']
212,6.69,5.245,['right']
213,6.08,4.918,['right']
214,6.092,5.466,['right']
215,5.328,5.114,['right']
216,5.067,4.26,['right']
217,5.584,5.432,['right']
218,5.584,4.578,['right']
219,6.092,3.81,['right']
220,6.584,3.229,['right']
221,7.516,4.772,['right']
222,7.094,5.283,['right']
223,6.777,7.516,['right']
224,6.537,6.499,['right']
225,7.918,4.747,['right']
226,3.306,4.021,['right']
227,7.516,3.011,['right']
228,6.847,3.003,['right']
229,6.584,4.772,['right']
230,7.298,4.021,['right']
231,7.329,2.627,['right']
232,6.147,4.43,['right']
233,6.537,7.298,['right']
234,6.271,5.293,['right']
235,6.584,3.369,['right']
236,7.329,4.089,['right']
237,6.777,6.537,['right']
238,7.915,2.839,['right']
239,7.424,4.089,['right']
240,6.506,6.305,['left']
241,4.251,4.438,['left']
242,5.434,4.821,['left']
243,5.861,4.918,['left']
244,5.584,4.322,['left']
245,3.36,5.434,['left']
246,6.919,5.245,['left']
247,4.918,5.432,['left']
248,5.888,4.578,['left']
249,4.251,5.114,['left']
250,6.205,5.172,['left']
251,6.69,6.919,['left']
252,5.434,4.578,['left']
253,5.067,5.114,['left']
254,5.067,3.36,['left']
255,4.438,5.245,['left']
256,5.432,5.432,['left']
257,5.4,5.245,['left']
258,6.092,3.36,['left']
259,6.092,4.745,['left']
260,6.493,5.916,['right']
261,6.663,5.916,['right']
262,6.493,7.669,['right']
263,6.434,6.576,['right']
264,5.969,4.878,['right']
265,7.375,7.045,['right']
266,7.367,7.375,['right']
267,6.647,7.193,['right']
268,7.367,4.646,['right']
269,7.373,6.223,['right']
270,7.01,3.609,['right']
271,7.375,4.646,['right']
272,7.375,5.116,['right']
273,7.464,4.272,['right']
274,6.584,5.969,['right']
275,6.914,7.582,['right']
276,7.104,4.272,['right']
277,6.887,6.223,['right']
278,7.464,5.969,['right']
279,3.609,3.799,['right']
280,7.235,7.318,['left']
281,7.464,6.645,['left']
282,7.582,5.116,['left']
283,4.428,7.582,['left']
284,7.669,5.461,['left']
285,7.039,4.864,['left']
286,7.193,5.969,['left']
287,5.111,4.272,['left']
288,7.052,6.434,['left']
289,6.887,5.969,['left']
290,7.559,5.217,['left']
291,5.644,4.272,['left']
292,6.493,6.647,['left']
293,6.914,7.045,['left']
294,7.104,4.864,['left']
295,7.464,5.916,['left']
296,6.914,6.13,['left']
297,5.969,6.584,['left']
298,7.235,6.648,['left']
299,5.916,6.223,['left']
300,7.052,6.648,['left']
301,5.644,5.969,['left']
302,6.887,7.045,['left']
303,6.887,4.646,['left']
304,5.969,7.039,['left']
305,6.887,4.272,['left']
306,6.434,4.428,['left']
307,7.318,6.434,['left']
308,3.799,4.272,['left']
309,6.13,6.223,['left']
310,7.373,5.916,['left']
311,6.252,4.428,['left']
312,6.423,4.192,['left']
313,7.373,7.503,['left']
314,7.039,7.464,['left']
315,6.576,4.272,['left']
316,5.916,7.375,['left']
317,4.864,4.272,['left']
318,7.373,5.116,['left']
319,6.252,7.373,['left']
320,6.537,6.363,['right']
321,7.298,2.839,['right']
322,6.777,3.306,['right']
323,7.424,3.229,['right']
324,6.271,3.003,['right']
325,7.094,3.306,['right']
326,7.915,4.747,['right']
327,7.329,3.229,['right']
328,5.973,3.011,['right']
329,6.147,6.147,['right']
330,7.915,2.839,['right']
331,6.499,7.516,['right']
332,7.298,3.003,['right']
333,6.584,6.363,['right']
334,6.271,7.915,['right']
335,3.483,3.519,['right']
336,6.537,4.089,['right']
337,7.094,5.234,['right']
338,4.089,3.263,['right']
339,7.51,4.089,['right']
340,3.519,2.839,['right']
341,7.918,4.998,['right']
342,6.537,3.702,['right']
343,7.51,4.43,['right']
344,3.011,5.293,['right']
345,6.147,3.229,['right']
346,6.271,3.306,['right']
347,6.368,4.021,['right']
348,6.271,3.011,['right']
349,2.839,4.747,['right']
350,5.943,3.483,['right']
351,3.229,3.519,['right']
352,5.943,3.229,['right']
353,4.998,6.499,['right']
354,6.584,7.385,['right']
355,6.368,7.587,['right']
356,5.234,3.483,['right']
357,6.847,7.516,['right']
358,7.424,4.772,['right']
359,7.298,3.519,['right']
